"","annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at","labels","choiceCom","split","argAmount","argType","argPar1","argPar2","argPerformed","argImageName"
76,388,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:15:38.604317Z",18232,"Bare Soil_Fran_0_776_776.jpg",1.865,"2024-07-11T10:15:38.604352Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_776_776.jpg"
77,390,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:15:44.138514Z",18233,"Bare Soil_Fran_0_776_965.jpg",4.784,"2024-07-11T10:15:44.138546Z","['Grass', 'Soil']","Grass, Soil","Val",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_776_965.jpg"
78,393,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:15:59.576423Z",18234,"Bare Soil_Fran_0_970_0.jpg",14.785,"2024-07-11T10:15:59.576454Z","['Grass', 'Soil']","Grass, Soil","Val",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_970_0.jpg"
79,396,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:16:04.696708Z",18235,"Bare Soil_Fran_0_970_194.jpg",4.252,"2024-07-11T10:16:04.696755Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_970_194.jpg"
80,398,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:16:09.259909Z",18236,"Bare Soil_Fran_0_970_388.jpg",3.844,"2024-07-11T10:16:09.259939Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_970_388.jpg"
81,400,4,"Soil","2024-07-11T10:16:13.529371Z",18237,"Bare Soil_Fran_0_970_582.jpg",3.577,"2024-07-11T10:16:13.529403Z","['Soil']","Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_970_582.jpg"
82,405,4,"{""choices"":[""Grass"",""Dung"",""Soil""]}","2024-07-11T10:16:30.303152Z",18238,"Bare Soil_Fran_0_970_776.jpg",16.047,"2024-07-11T10:16:30.303183Z","['Grass', 'Dung', 'Soil']","Grass, Dung, Soil","Train",17,"None",NA,NA,TRUE,"Bare Soil_Fran_0_970_776.jpg"
83,409,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:16:47.344154Z",18239,"Bare Soil_Fran_0_970_965.jpg",15.185,"2024-07-11T10:16:47.344181Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_970_965.jpg"
89,425,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:17:41.455977Z",18246,"Bare Soil_Fran_1_1164_0.jpg",4.419,"2024-07-11T10:17:41.456008Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1164_0.jpg"
90,427,4,"Soil","2024-07-11T10:17:45.319394Z",18247,"Bare Soil_Fran_1_1164_194.jpg",3.19,"2024-07-11T10:17:45.319423Z","['Soil']","Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1164_194.jpg"
91,430,4,"Soil","2024-07-11T10:17:51.592965Z",18248,"Bare Soil_Fran_1_1164_388.jpg",5.329,"2024-07-11T10:17:51.592996Z","['Soil']","Soil","Val",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1164_388.jpg"
92,433,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:17:55.304807Z",18249,"Bare Soil_Fran_1_1164_582.jpg",2.926,"2024-07-11T10:17:55.304840Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1164_582.jpg"
93,434,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:17:59.431249Z",18250,"Bare Soil_Fran_1_1164_776.jpg",3.336,"2024-07-11T10:17:59.431290Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1164_776.jpg"
95,439,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:18:07.330182Z",18252,"Bare Soil_Fran_1_1358_0.jpg",1.839,"2024-07-11T10:18:07.330213Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1358_0.jpg"
96,442,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:18:16.487209Z",18253,"Bare Soil_Fran_1_1358_194.jpg",8.452,"2024-07-11T10:18:16.487238Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1358_194.jpg"
97,443,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:18:20.186366Z",18254,"Bare Soil_Fran_1_1358_388.jpg",3.017,"2024-07-11T10:18:20.186397Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1358_388.jpg"
98,444,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:18:22.708575Z",18255,"Bare Soil_Fran_1_1358_582.jpg",1.687,"2024-07-11T10:18:22.708606Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1358_582.jpg"
101,453,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:18:52.053014Z",18258,"Bare Soil_Fran_1_1552_0.jpg",17.647,"2024-07-11T10:18:52.053045Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1552_0.jpg"
102,456,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:18:56.303377Z",18259,"Bare Soil_Fran_1_1552_194.jpg",3.318,"2024-07-11T10:18:56.303408Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1552_194.jpg"
103,458,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:19:01.126599Z",18260,"Bare Soil_Fran_1_1552_388.jpg",4.153,"2024-07-11T10:19:01.126634Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1552_388.jpg"
104,459,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:19:05.738225Z",18261,"Bare Soil_Fran_1_1552_582.jpg",3.845,"2024-07-11T10:19:05.738261Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1552_582.jpg"
107,463,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:19:17.320156Z",18264,"Bare Soil_Fran_1_1746_0.jpg",3.412,"2024-07-11T10:19:17.320185Z","['Grass', 'Soil']","Grass, Soil","Val",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1746_0.jpg"
108,464,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:19:23.074827Z",18265,"Bare Soil_Fran_1_1746_194.jpg",4.901,"2024-07-11T10:19:23.074856Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1746_194.jpg"
109,465,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:19:26.630443Z",18266,"Bare Soil_Fran_1_1746_388.jpg",2.817,"2024-07-11T10:19:26.630476Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1746_388.jpg"
113,474,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:19:49.973704Z",18270,"Bare Soil_Fran_1_1940_0.jpg",2.977,"2024-07-11T10:19:49.973730Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_1940_0.jpg"
133,521,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:21:56.326358Z",18290,"Bare Soil_Fran_1_2328_388.jpg",7.137,"2024-07-11T10:21:56.326390Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_2328_388.jpg"
135,526,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:22:10.766341Z",18292,"Bare Soil_Fran_1_2328_776.jpg",6.502,"2024-07-11T10:22:10.766372Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_2328_776.jpg"
139,533,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:22:31.479330Z",18296,"Bare Soil_Fran_1_2419_388.jpg",6.314,"2024-07-11T10:22:31.479370Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_2419_388.jpg"
156,586,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:25:53.174982Z",18313,"Bare Soil_Fran_1_776_194.jpg",3.809,"2024-07-11T10:25:53.175014Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_776_194.jpg"
157,587,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:25:55.972087Z",18314,"Bare Soil_Fran_1_776_388.jpg",1.995,"2024-07-11T10:25:55.972594Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_776_388.jpg"
158,588,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:25:58.991346Z",18315,"Bare Soil_Fran_1_776_582.jpg",2.292,"2024-07-11T10:25:58.991377Z","['Grass', 'Soil']","Grass, Soil","Val",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_776_582.jpg"
161,591,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:26:15.347471Z",18318,"Bare Soil_Fran_1_970_0.jpg",3.694,"2024-07-11T10:26:15.347508Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_970_0.jpg"
162,592,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:26:22.505701Z",18319,"Bare Soil_Fran_1_970_194.jpg",6.401,"2024-07-11T10:26:22.505731Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_970_194.jpg"
163,593,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:26:28.609978Z",18320,"Bare Soil_Fran_1_970_388.jpg",5.308,"2024-07-11T10:26:28.610010Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_1_970_388.jpg"
164,595,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:26:47.536541Z",18321,"Bare Soil_Fran_1_970_582.jpg",17.747,"2024-07-11T10:26:47.536571Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_1_970_582.jpg"
173,622,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:29:22.430681Z",18330,"Bare Soil_Fran_2_1164_0.jpg",17.645,"2024-07-11T10:29:22.430710Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1164_0.jpg"
174,626,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:29:33.374390Z",18331,"Bare Soil_Fran_2_1164_194.jpg",10.042,"2024-07-11T10:29:33.374420Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1164_194.jpg"
175,628,4,"Soil","2024-07-11T10:29:36.649858Z",18332,"Bare Soil_Fran_2_1164_388.jpg",2.443,"2024-07-11T10:29:36.649910Z","['Soil']","Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1164_388.jpg"
176,630,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:29:40.060586Z",18333,"Bare Soil_Fran_2_1164_582.jpg",2.577,"2024-07-11T10:29:40.060622Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1164_582.jpg"
177,632,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:29:43.540259Z",18334,"Bare Soil_Fran_2_1164_776.jpg",2.399,"2024-07-11T10:29:43.540290Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1164_776.jpg"
178,633,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:29:47.686203Z",18335,"Bare Soil_Fran_2_1164_965.jpg",3.299,"2024-07-11T10:29:47.686234Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1164_965.jpg"
179,635,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:29:50.614185Z",18336,"Bare Soil_Fran_2_1358_0.jpg",2.181,"2024-07-11T10:29:50.614215Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1358_0.jpg"
180,636,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:29:53.426663Z",18337,"Bare Soil_Fran_2_1358_194.jpg",1.96,"2024-07-11T10:29:53.426692Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1358_194.jpg"
181,637,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:29:56.845122Z",18338,"Bare Soil_Fran_2_1358_388.jpg",2.589,"2024-07-11T10:29:56.845152Z","['Grass', 'Soil']","Grass, Soil","Val",2,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1358_388.jpg"
182,639,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:29:59.010817Z",18339,"Bare Soil_Fran_2_1358_582.jpg",1.518,"2024-07-11T10:29:59.010848Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1358_582.jpg"
183,641,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:30:05.012844Z",18340,"Bare Soil_Fran_2_1358_776.jpg",4.939,"2024-07-11T10:30:05.012874Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1358_776.jpg"
185,645,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:30:11.728853Z",18342,"Bare Soil_Fran_2_1552_0.jpg",2.16,"2024-07-11T10:30:11.728926Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1552_0.jpg"
186,647,4,"Soil","2024-07-11T10:30:14.325641Z",18343,"Bare Soil_Fran_2_1552_194.jpg",1.945,"2024-07-11T10:30:14.325671Z","['Soil']","Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1552_194.jpg"
187,650,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:30:18.453541Z",18344,"Bare Soil_Fran_2_1552_388.jpg",3.34,"2024-07-11T10:30:18.453574Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1552_388.jpg"
188,652,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:30:22.241847Z",18345,"Bare Soil_Fran_2_1552_582.jpg",2.915,"2024-07-11T10:30:22.241896Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1552_582.jpg"
191,657,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:30:36.866823Z",18348,"Bare Soil_Fran_2_1746_0.jpg",3.98,"2024-07-11T10:30:36.866853Z","['Grass', 'Soil']","Grass, Soil","Val",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1746_0.jpg"
192,659,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:30:42.016763Z",18349,"Bare Soil_Fran_2_1746_194.jpg",4.423,"2024-07-11T10:30:42.016797Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1746_194.jpg"
193,662,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:30:50.413524Z",18350,"Bare Soil_Fran_2_1746_388.jpg",7.485,"2024-07-11T10:30:50.413552Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1746_388.jpg"
194,665,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:30:53.272968Z",18351,"Bare Soil_Fran_2_1746_582.jpg",2.035,"2024-07-11T10:30:53.272999Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1746_582.jpg"
197,671,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:31:09.845230Z",18354,"Bare Soil_Fran_2_1940_0.jpg",3.904,"2024-07-11T10:31:09.845370Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1940_0.jpg"
198,674,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:31:19.656043Z",18355,"Bare Soil_Fran_2_1940_194.jpg",9.024,"2024-07-11T10:31:19.656076Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1940_194.jpg"
199,676,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:31:22.469536Z",18356,"Bare Soil_Fran_2_1940_388.jpg",2.065,"2024-07-11T10:31:22.469577Z","['Grass', 'Soil']","Grass, Soil","Val",2,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1940_388.jpg"
200,678,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:31:27.552695Z",18357,"Bare Soil_Fran_2_1940_582.jpg",4.316,"2024-07-11T10:31:27.552724Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_1940_582.jpg"
209,695,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:31:54.184275Z",18366,"Bare Soil_Fran_2_2134_0.jpg",3.713,"2024-07-11T10:31:54.184305Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_2_2134_0.jpg"
210,129,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T09:55:19.164949Z",18367,"Bare Soil_Fran_2_2134_194.jpg",10.783,"2024-07-11T09:55:19.164981Z","['Grass', 'Soil']","Grass, Soil","Val",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_2134_194.jpg"
211,696,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:31:57.233919Z",18368,"Bare Soil_Fran_2_2134_388.jpg",2.19,"2024-07-11T10:31:57.233954Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_2_2134_388.jpg"
215,705,4,"{""choices"":[""Grass"",""Dung"",""Soil""]}","2024-07-11T10:32:10.591132Z",18372,"Bare Soil_Fran_2_2328_0.jpg",4.732,"2024-07-11T10:32:10.591164Z","['Grass', 'Dung', 'Soil']","Grass, Dung, Soil","Train",17,"None",NA,NA,TRUE,"Bare Soil_Fran_2_2328_0.jpg"
